Count	Date	Color	Automaker
247	2000-12-03	Red	Volvo
372	2000-12-03	Blue	Toyota
378	2000-12-03	Blue	Mazda
736	2000-12-03	Blue	BMW
328	2000-12-03	Blue	Audi
83	2000-12-03	Blue	Volvo
125	2000-12-03	Green	Toyota
203	2000-12-03	Green	Mazda
88	2000-12-03	Green	BMW
81	2000-12-03	Green	Audi
254	2000-12-03	Green	Volvo
288	2000-12-03	Black	Toyota
257	2000-12-03	Black	Mazda
105	2000-12-03	Black	BMW
45	2000-12-03	Black	Audi
261	2000-12-03	Black	Volvo
112	2000-12-04	Red	Toyota
113	2000-12-04	Red	Mazda
26	2000-12-04	Red	BMW
109	2000-12-04	Red	Audi
119	2000-12-04	Red	Volvo
549	2000-12-04	Blue	Toyota
704	2000-12-04	Blue	Mazda
178	2000-12-04	Blue	BMW
619	2000-12-04	Blue	Audi
600	2000-12-04	Blue	Volvo
108	2000-12-04	Green	Toyota
298	2000-12-04	Green	Mazda
217	2000-12-04	Green	BMW
327	2000-12-04	Green	Audi
186	2000-12-04	Green	Volvo
113	2000-12-04	Black	Toyota
180	2000-12-04	Black	Mazda
172	2000-12-04	Black	BMW
91	2000-12-04	Black	Audi
178	2000-12-04	Black	Volvo
101	2000-12-05	Red	Toyota
282	2000-12-05	Red	Mazda
25	2000-12-05	Red	BMW
706	2000-12-05	Red	Audi
285	2000-12-05	Red	Volvo
110	2000-12-05	Blue	Toyota
169	2000-12-05	Blue	Mazda
7	2000-12-05	Blue	BMW
82	2000-12-05	Blue	Audi
122	2000-12-05	Blue	Volvo
493	2000-12-05	Green	Toyota
440	2000-12-05	Green	Mazda
328	2000-12-05	Green	BMW
10	2000-12-05	Green	Audi
156	2000-12-05	Green	Volvo
353	2000-12-05	Black	Toyota
303	2000-12-05	Black	Mazda
268	2000-12-05	Black	BMW
110	2000-12-05	Black	Audi
410	2000-12-05	Black	Volvo
238	2000-12-06	Red	Toyota
235	2000-12-06	Red	Mazda
131	2000-12-06	Red	BMW
139	2000-12-06	Red	Audi
226	2000-12-06	Red	Volvo
34	2000-12-06	Blue	Toyota
11	2000-12-06	Blue	Mazda
19	2000-12-06	Blue	BMW
44	2000-12-06	Blue	Audi
30	2000-12-06	Blue	Volvo
122	2000-12-06	Green	Toyota
198	2000-12-06	Green	Mazda
168	2000-12-06	Green	BMW
34	2000-12-06	Green	Audi
88	2000-12-06	Green	Volvo
242	2000-12-06	Black	Toyota
220	2000-12-06	Black	Mazda
275	2000-12-06	Black	BMW
147	2000-12-06	Black	Audi
148	2000-12-06	Black	Volvo
644	2000-12-07	Red	Toyota
379	2000-12-07	Red	Mazda
188	2000-12-07	Red	BMW
268	2000-12-07	Red	Audi
106	2000-12-07	Red	Volvo
118	2000-12-07	Blue	Toyota
50	2000-12-07	Blue	Mazda
38	2000-12-07	Blue	BMW
135	2000-12-07	Blue	Audi
10	2000-12-07	Blue	Volvo
168	2000-12-07	Green	Toyota
175	2000-12-07	Green	Mazda
62	2000-12-07	Green	BMW
197	2000-12-07	Green	Audi
186	2000-12-07	Green	Volvo
655	2000-12-07	Black	Toyota
239	2000-12-07	Black	Mazda
643	2000-12-07	Black	BMW
23	2000-12-07	Black	Audi
616	2000-12-07	Black	Volvo
46	2000-12-08	Red	Toyota
59	2000-12-08	Red	Mazda
51	2000-12-08	Red	BMW
28	2000-12-08	Red	Audi
35	2000-12-08	Red	Volvo
61	2000-12-08	Blue	Toyota
122	2000-12-08	Blue	Mazda
48	2000-12-08	Blue	BMW
148	2000-12-08	Blue	Audi
175	2000-12-08	Blue	Volvo
92	2000-12-08	Green	Toyota
134	2000-12-08	Green	Mazda
72	2000-12-08	Green	BMW
3	2000-12-08	Green	Audi
82	2000-12-08	Green	Volvo
164	2000-12-08	Black	Toyota
19	2000-12-08	Black	Mazda
37	2000-12-08	Black	BMW
39	2000-12-08	Black	Audi
238	2000-12-08	Black	Volvo
12	2000-12-09	Red	Toyota
36	2000-12-09	Red	Mazda
99	2000-12-09	Red	BMW
134	2000-12-09	Red	Audi
139	2000-12-09	Red	Volvo
97	2000-12-09	Blue	Toyota
30	2000-12-09	Blue	Mazda
53	2000-12-09	Blue	BMW
117	2000-12-09	Blue	Audi
2	2000-12-09	Blue	Volvo
63	2000-12-09	Green	Toyota
72	2000-12-09	Green	Mazda
91	2000-12-09	Green	BMW
21	2000-12-09	Green	Audi
11	2000-12-09	Green	Volvo
3	2000-12-09	Black	Mazda
9	2000-12-09	Black	BMW
1	2000-12-09	Black	Audi
6	2000-12-09	Black	Volvo
67	2000-12-10	Red	Toyota
15	2000-12-10	Red	Mazda
346	2000-12-10	Red	BMW
564	2000-12-10	Red	Audi
151	2000-12-10	Red	Volvo
173	2000-12-10	Blue	Toyota
108	2000-12-10	Blue	Mazda
178	2000-12-10	Blue	BMW
116	2000-12-10	Blue	Audi
162	2000-12-10	Blue	Volvo
86	2000-12-10	Green	Toyota
48	2000-12-10	Green	Mazda
71	2000-12-10	Green	BMW
78	2000-12-10	Green	Audi
72	2000-12-10	Green	Volvo
236	2000-12-10	Black	Toyota
44	2000-12-10	Black	Mazda
267	2000-12-10	Black	BMW
292	2000-12-10	Black	Audi
88	2000-12-10	Black	Volvo
154	2000-12-11	Red	Toyota
66	2000-12-11	Red	Mazda
233	2000-12-11	Red	BMW
42	2000-12-11	Red	Audi
2	2000-12-11	Red	Volvo
37	2000-12-11	Blue	Toyota
27	2000-12-11	Blue	Mazda
39	2000-12-11	Blue	BMW
35	2000-12-11	Blue	Audi
5	2000-12-11	Blue	Volvo
565	2000-12-11	Green	Toyota
799	2000-12-11	Green	Mazda
305	2000-12-11	Green	BMW
164	2000-12-11	Green	Audi
581	2000-12-11	Green	Volvo
154	2000-12-11	Black	Toyota
377	2000-12-11	Black	Mazda
398	2000-12-11	Black	BMW
307	2000-12-11	Black	Audi
429	2000-12-11	Black	Volvo
94	2000-12-12	Red	Toyota
85	2000-12-12	Red	Mazda
48	2000-12-12	Red	BMW
92	2000-12-12	Red	Audi
59	2000-12-12	Red	Volvo
345	2000-12-12	Blue	Toyota
160	2000-12-12	Blue	Mazda
288	2000-12-12	Blue	BMW
44	2000-12-12	Blue	Audi
125	2000-12-12	Blue	Volvo
132	2000-12-12	Green	Toyota
30	2000-12-12	Green	Mazda
118	2000-12-12	Green	BMW
71	2000-12-12	Green	Audi
50	2000-12-12	Green	Volvo
158	2000-12-12	Black	Toyota
110	2000-12-12	Black	Mazda
7	2000-12-12	Black	BMW
140	2000-12-12	Black	Audi
155	2000-12-12	Black	Volvo
2	2000-12-13	Red	Toyota
7	2000-12-13	Red	Mazda
2	2000-12-13	Red	BMW
16	2000-12-13	Red	Audi
1	2000-12-13	Red	Volvo
493	2000-12-13	Blue	Toyota
281	2000-12-13	Blue	Mazda
183	2000-12-13	Blue	BMW
72	2000-12-13	Blue	Audi
554	2000-12-13	Blue	Volvo
446	2000-12-13	Green	Toyota
351	2000-12-13	Green	Mazda
82	2000-12-13	Green	BMW
646	2000-12-13	Green	Audi
165	2000-12-13	Green	Volvo
164	2000-12-13	Black	Toyota
141	2000-12-13	Black	Mazda
366	2000-12-13	Black	BMW
87	2000-12-13	Black	Audi
208	2000-12-13	Black	Volvo
1	2000-12-14	Red	Toyota
369	2000-12-14	Red	Mazda
578	2000-12-14	Red	BMW
314	2000-12-14	Red	Audi
353	2000-12-14	Red	Volvo
102	2000-12-14	Blue	Toyota
552	2000-12-14	Blue	Mazda
493	2000-12-14	Blue	BMW
254	2000-12-14	Blue	Audi
170	2000-12-14	Blue	Volvo
441	2000-12-14	Green	Toyota
177	2000-12-14	Green	Mazda
77	2000-12-14	Green	BMW
261	2000-12-14	Green	Audi
338	2000-12-14	Green	Volvo
108	2000-12-14	Black	Toyota
4	2000-12-14	Black	Mazda
161	2000-12-14	Black	BMW
293	2000-12-14	Black	Audi
339	2000-12-14	Black	Volvo
248	2000-12-15	Red	Toyota
139	2000-12-15	Red	Mazda
188	2000-12-15	Red	BMW
167	2000-12-15	Red	Audi
247	2000-12-15	Red	Volvo
11	2000-12-15	Blue	Toyota
148	2000-12-15	Blue	Mazda
117	2000-12-15	Blue	BMW
8	2000-12-15	Blue	Audi
135	2000-12-15	Blue	Volvo
24	2000-12-15	Green	Toyota
16	2000-12-15	Green	Mazda
34	2000-12-15	Green	BMW
44	2000-12-15	Green	Audi
23	2000-12-15	Green	Volvo
83	2000-12-15	Black	Toyota
457	2000-12-15	Black	Mazda
593	2000-12-15	Black	BMW
52	2000-12-15	Black	Audi
78	2000-12-15	Black	Volvo
176	2000-12-16	Red	Toyota
80	2000-12-16	Red	Mazda
139	2000-12-16	Red	BMW
162	2000-12-16	Red	Audi
34	2000-12-16	Red	Volvo
124	2000-12-16	Blue	Toyota
270	2000-12-16	Blue	Mazda
476	2000-12-16	Blue	BMW
208	2000-12-16	Blue	Audi
99	2000-12-16	Blue	Volvo
81	2000-12-16	Green	Toyota
76	2000-12-16	Green	Mazda
1	2000-12-16	Green	BMW
70	2000-12-16	Green	Audi
80	2000-12-16	Green	Volvo
13	2000-12-16	Black	Toyota
17	2000-12-16	Black	Mazda
41	2000-12-16	Black	BMW
63	2000-12-16	Black	Audi
46	2000-12-16	Black	Volvo
314	2000-12-17	Red	Toyota
201	2000-12-17	Red	Mazda
25	2000-12-17	Red	BMW
73	2000-12-17	Red	Audi
296	2000-12-17	Red	Volvo
68	2000-12-17	Blue	Toyota
74	2000-12-17	Blue	Mazda
46	2000-12-17	Blue	BMW
63	2000-12-17	Blue	Audi
108	2000-12-17	Blue	Volvo
223	2000-12-17	Green	Toyota
167	2000-12-17	Green	Mazda
122	2000-12-17	Green	BMW
297	2000-12-17	Green	Audi
273	2000-12-17	Green	Volvo
453	2000-12-17	Black	Toyota
193	2000-12-17	Black	Mazda
408	2000-12-17	Black	BMW
187	2000-12-17	Black	Audi
107	2000-12-17	Black	Volvo
174	2000-12-18	Red	Toyota
28	2000-12-18	Red	Mazda
646	2000-12-18	Red	BMW
477	2000-12-18	Red	Audi
428	2000-12-18	Red	Volvo
208	2000-12-18	Blue	Toyota
122	2000-12-18	Blue	Mazda
156	2000-12-18	Blue	BMW
245	2000-12-18	Blue	Audi
22	2000-12-18	Blue	Volvo
789	2000-12-18	Green	Toyota
14	2000-12-18	Green	Mazda
75	2000-12-18	Green	BMW
82	2000-12-18	Green	Audi
649	2000-12-18	Green	Volvo
202	2000-12-18	Black	Toyota
369	2000-12-18	Black	Mazda
132	2000-12-18	Black	BMW
137	2000-12-18	Black	Audi
86	2000-12-18	Black	Volvo
48	2000-12-19	Red	Toyota
85	2000-12-19	Red	Mazda
354	2000-12-19	Red	BMW
163	2000-12-19	Red	Audi
196	2000-12-19	Red	Volvo
288	2000-12-19	Blue	Toyota
106	2000-12-19	Blue	Mazda
31	2000-12-19	Blue	BMW
80	2000-12-19	Blue	Audi
110	2000-12-19	Blue	Volvo
145	2000-12-19	Green	Toyota
164	2000-12-19	Green	Mazda
146	2000-12-19	Green	BMW
59	2000-12-19	Green	Audi
101	2000-12-19	Green	Volvo
112	2000-12-19	Black	Toyota
43	2000-12-19	Black	Mazda
322	2000-12-19	Black	BMW
40	2000-12-19	Black	Audi
398	2000-12-19	Black	Volvo
127	2000-12-20	Red	Toyota
273	2000-12-20	Red	Mazda
168	2000-12-20	Red	BMW
24	2000-12-20	Red	Audi
57	2000-12-20	Red	Volvo
17	2000-12-20	Blue	Toyota
30	2000-12-20	Blue	Mazda
113	2000-12-20	Blue	BMW
74	2000-12-20	Blue	Audi
112	2000-12-20	Blue	Volvo
71	2000-12-20	Green	Toyota
94	2000-12-20	Green	Mazda
1	2000-12-20	Green	BMW
42	2000-12-20	Green	Audi
90	2000-12-20	Green	Volvo
131	2000-12-20	Black	Toyota
120	2000-12-20	Black	Mazda
133	2000-12-20	Black	BMW
64	2000-12-20	Black	Audi
11	2000-12-20	Black	Volvo
131	2000-12-21	Red	Toyota
48	2000-12-21	Red	Mazda
65	2000-12-21	Red	BMW
46	2000-12-21	Red	Audi
59	2000-12-21	Red	Volvo
27	2000-12-21	Blue	Toyota
34	2000-12-21	Blue	Mazda
22	2000-12-21	Blue	BMW
14	2000-12-21	Blue	Audi
71	2000-12-21	Blue	Volvo
66	2000-12-21	Green	Toyota
90	2000-12-21	Green	Mazda
33	2000-12-21	Green	BMW
120	2000-12-21	Green	Audi
88	2000-12-21	Green	Volvo
27	2000-12-21	Black	Toyota
41	2000-12-21	Black	Mazda
77	2000-12-21	Black	BMW
66	2000-12-21	Black	Audi
69	2000-12-21	Black	Volvo
69	2000-12-22	Red	Toyota
58	2000-12-22	Red	Mazda
44	2000-12-22	Red	BMW
50	2000-12-22	Red	Audi
35	2000-12-22	Red	Volvo
412	2000-12-22	Blue	Toyota
202	2000-12-22	Blue	Mazda
342	2000-12-22	Blue	BMW
130	2000-12-22	Blue	Audi
150	2000-12-22	Blue	Volvo
55	2000-12-22	Green	Toyota
570	2000-12-22	Green	Mazda
453	2000-12-22	Green	BMW
386	2000-12-22	Green	Audi
102	2000-12-22	Green	Volvo
338	2000-12-22	Black	Toyota
490	2000-12-22	Black	Mazda
271	2000-12-22	Black	BMW
841	2000-12-22	Black	Audi
110	2000-12-22	Black	Volvo
190	2000-12-23	Red	Toyota
34	2000-12-23	Red	Mazda
62	2000-12-23	Red	BMW
5	2000-12-23	Red	Audi
131	2000-12-23	Red	Volvo
40	2000-12-23	Blue	Toyota
10	2000-12-23	Blue	Mazda
43	2000-12-23	Blue	BMW
32	2000-12-23	Blue	Audi
14	2000-12-23	Blue	Volvo
185	2000-12-23	Green	Toyota
64	2000-12-23	Green	Mazda
244	2000-12-23	Green	BMW
260	2000-12-23	Green	Audi
4	2000-12-23	Green	Volvo
148	2000-12-23	Black	Toyota
55	2000-12-23	Black	Mazda
80	2000-12-23	Black	BMW
57	2000-12-23	Black	Audi
140	2000-12-23	Black	Volvo
65	2000-12-24	Red	Toyota
9	2000-12-24	Red	Mazda
38	2000-12-24	Red	BMW
64	2000-12-24	Red	Audi
63	2000-12-24	Red	Volvo
6	2000-12-24	Blue	Toyota
6	2000-12-24	Blue	Mazda
12	2000-12-24	Blue	BMW
7	2000-12-24	Blue	Audi
4	2000-12-24	Blue	Volvo
70	2000-12-24	Green	Toyota
14	2000-12-24	Green	Mazda
73	2000-12-24	Green	BMW
39	2000-12-24	Green	Audi
155	2000-12-24	Green	Volvo
12	2000-12-24	Black	Toyota
150	2000-12-24	Black	Mazda
108	2000-12-24	Black	BMW
142	2000-12-24	Black	Audi
70	2000-12-24	Black	Volvo
28	2000-12-25	Red	Toyota
17	2000-12-25	Red	Mazda
25	2000-12-25	Red	BMW
8	2000-12-25	Red	Audi
25	2000-12-25	Red	Volvo
3	2000-12-25	Blue	Toyota
14	2000-12-25	Blue	Mazda
2	2000-12-25	Blue	BMW
26	2000-12-25	Blue	Audi
19	2000-12-25	Blue	Volvo
14	2000-12-25	Green	Toyota
6	2000-12-25	Green	Mazda
10	2000-12-25	Green	BMW
22	2000-12-25	Green	Audi
11	2000-12-25	Green	Volvo
21	2000-12-25	Black	Toyota
4	2000-12-25	Black	Mazda
41	2000-12-25	Black	BMW
21	2000-12-25	Black	Audi
55	2000-12-25	Black	Volvo
297	2000-12-26	Red	Toyota
250	2000-12-26	Red	Mazda
362	2000-12-26	Red	BMW
66	2000-12-26	Red	Audi
118	2000-12-26	Red	Volvo
64	2000-12-26	Blue	Toyota
499	2000-12-26	Blue	Mazda
40	2000-12-26	Blue	BMW
518	2000-12-26	Blue	Audi
138	2000-12-26	Blue	Volvo
1	2000-12-26	Green	Toyota
14	2000-12-26	Green	Mazda
4	2000-12-26	Green	BMW
59	2000-12-26	Green	Audi
43	2000-12-26	Green	Volvo
521	2000-12-26	Black	Toyota
563	2000-12-26	Black	Mazda
521	2000-12-26	Black	BMW
455	2000-12-26	Black	Audi
30	2000-12-26	Black	Volvo
263	2000-12-27	Red	Toyota
345	2000-12-27	Red	Mazda
553	2000-12-27	Red	BMW
178	2000-12-27	Red	Audi
350	2000-12-27	Red	Volvo
131	2000-12-27	Blue	Toyota
156	2000-12-27	Blue	Mazda
236	2000-12-27	Blue	BMW
163	2000-12-27	Blue	Audi
311	2000-12-27	Blue	Volvo
312	2000-12-27	Green	Toyota
474	2000-12-27	Green	Mazda
279	2000-12-27	Green	BMW
215	2000-12-27	Green	Audi
198	2000-12-27	Green	Volvo
23	2000-12-27	Black	Toyota
34	2000-12-27	Black	Mazda
20	2000-12-27	Black	BMW
15	2000-12-27	Black	Audi
43	2000-12-27	Black	Volvo
117	2000-12-28	Red	Toyota
106	2000-12-28	Red	Mazda
88	2000-12-28	Red	BMW
161	2000-12-28	Red	Audi
88	2000-12-28	Red	Volvo
70	2000-12-28	Blue	Toyota
186	2000-12-28	Blue	Mazda
253	2000-12-28	Blue	BMW
268	2000-12-28	Blue	Audi
237	2000-12-28	Blue	Volvo
26	2000-12-28	Green	Toyota
192	2000-12-28	Green	Mazda
115	2000-12-28	Green	BMW
187	2000-12-28	Green	Audi
167	2000-12-28	Green	Volvo
84	2000-12-28	Black	Toyota
187	2000-12-28	Black	Mazda
239	2000-12-28	Black	BMW
12	2000-12-28	Black	Audi
174	2000-12-28	Black	Volvo
95	2000-12-29	Red	Toyota
226	2000-12-29	Red	Mazda
219	2000-12-29	Red	BMW
241	2000-12-29	Red	Audi
129	2000-12-29	Red	Volvo
465	2000-12-29	Blue	Toyota
811	2000-12-29	Blue	Mazda
759	2000-12-29	Blue	BMW
13	2000-12-29	Blue	Audi
355	2000-12-29	Blue	Volvo
164	2000-12-29	Green	Toyota
298	2000-12-29	Green	Mazda
104	2000-12-29	Green	BMW
66	2000-12-29	Green	Audi
256	2000-12-29	Green	Volvo
147	2000-12-29	Black	Toyota
548	2000-12-29	Black	Mazda
332	2000-12-29	Black	BMW
29	2000-12-29	Black	Audi
19	2000-12-29	Black	Volvo
